name,translation,zip_code,state_name,state_abbreviation,city,latitude,longitude
Phillips Graduate Institute,菲利普斯研究所,91311,California,CA,Chatsworth,34.24202,-118.567621
California Institute of Integral Studies,加利福尼亚整合学院,94103,California,CA,San Francisco,37.774768,-122.416537
California Baptist University,加利福尼亚浸会大学,92504-3297,California,CA,Riverside,33.928569,-117.42587
California College of the Arts,加州艺术学院,94107-2247,California,CA,San Francisco,37.767266,-122.400263
University of California-Hastings College of Law,法加州大学黑斯廷斯大学,94102-4978,California,CA,San Francisco,37.780718,-122.415395
California Institute of Technology,加州理工学院,91125,California,CA,Pasadena,34.139275,-118.12574
California Lutheran University,加州路德大学,91360-2787,California,CA,Thousand Oaks,34.225551,-118.879467
California Polytechnic State University-San Luis Obispo,加州州立理工大学圣路易斯奥比斯波,93407,California,CA,San Luis Obispo,35.29889,-120.65856
Alliant International University,的Alliant国际大学,92131-1799,California,CA,San Diego,32.897056,-117.094398
California State University-Bakersfield,加州州立大学 - 贝克斯菲尔德,93311-1099,California,CA,Bakersfield,35.350005,-119.104711
California State University-Stanislaus,加州州立大学 - 斯坦尼斯,95382-0299,California,CA,Turlock,37.52577,-120.852511
California State University-San Bernardino,加州州立大学 - 圣贝纳迪诺,92407-2397,California,CA,San Bernardino,34.182987,-117.322508
California State Polytechnic University-Pomona,加州州立理工大学波莫纳,91768,California,CA,Pomona,34.054273,-117.819019
California State University-Chico,加州州立大学 - 奇科,95929-0150,California,CA,Chico,39.728003,-121.846333
California State University-Dominguez Hills,加州州立大学多明格斯山,90747-0005,California,CA,Carson,33.86524,-118.259316
California State University-Fresno,加州州立大学 - 弗雷斯诺,93740,California,CA,Fresno,36.814477,-119.748258
California State University-Fullerton,加州州立大学富勒顿,92831-3599,California,CA,Fullerton,33.883627,-117.885349
California State University-East Bay,加州州立大学东湾,94542,California,CA,Hayward,37.65707,-122.058073
California State University-Long Beach,加州州立大学长滩,90840-0115,California,CA,Long Beach,33.782752,-118.1123
California State University-Los Angeles,加州州立大学洛杉矶分校,90032,California,CA,Los Angeles,34.066927,-118.168965
California State University-Northridge,加州州立大学 - 北岭,91330,California,CA,Northridge,34.23671,-118.526817
California State University-Sacramento,加州州立大学萨克拉门托,95819-2694,California,CA,Sacramento,38.55745,-121.42194
University of California-Berkeley,加州大学伯克利分校,94720,California,CA,Berkeley,37.871519,-122.260401
University of California-Davis,加州大学戴维斯分校,95616-8678,California,CA,Davis,38.539895,-121.751958
University of California-Irvine,加州大学欧文分校,92697,California,CA,Irvine,33.648434,-117.841248
University of California-Los Angeles,加州大学洛杉矶分校,90095-1405,California,CA,Los Angeles,34.068892,-118.443901
University of California-Riverside,加州大学河滨分校,92521,California,CA,Riverside,33.97588,-117.331098
University of California-San Diego,加州大学圣地亚哥分校,92093,California,CA,La Jolla,32.876598,-117.237793
University of California-San Francisco,加州大学旧金山分校,94143-0244,California,CA,San Francisco,37.762736,-122.458049
University of California-Santa Barbara,加州圣巴巴拉大学,93106,California,CA,Santa Barbara,34.415402,-119.848031
University of California-Santa Cruz,加州大学圣克鲁兹分校,95064-1011,California,CA,Santa Cruz,36.997258,-122.067993
Sofia University,索非亚大学,94303,California,CA,Palo Alto,37.430325,-122.10866
California Christian College,加利福尼亚州基督教学院,93703-3599,California,CA,Fresno,36.767596,-119.732752
California College San Diego,加州大学圣地亚哥分校,92111-1009,California,CA,San Diego,32.83529,-117.167121
California Institute of the Arts,加州艺术学院,91355-2397,California,CA,Valencia,34.393337,-118.567303
California Maritime Academy,加州海事学院,94590,California,CA,Vallejo,38.069061,-122.231551
California Western School of Law,法律的加利福尼亚西部学校,92101-3046,California,CA,San Diego,32.72194,-117.162597
Chapman University,查普曼大学,92866,California,CA,Orange,33.793678,-117.851481
Charles R Drew University of Medicine and Science,医学和科学的查尔斯·R·德鲁大学,90059,California,CA,Los Angeles,33.925658,-118.242791
Concordia University-Irvine,康考迪亚大学欧文分校,92612-3203,California,CA,Irvine,33.6535,-117.81063
San Diego Christian College,圣迭戈基督教学院,92019-1157,California,CA,El Cajon,32.799999,-116.903073
Church Divinity School of the Pacific,太平洋教会神学院,94709-1211,California,CA,Berkeley,37.876169,-122.261391
Claremont Graduate University,克莱蒙特研究生大学,91711-6160,California,CA,Claremont,34.103778,-117.712394
Claremont McKenna College,克莱蒙特·麦肯纳学院,91711-6400,California,CA,Claremont,34.102323,-117.706593
Coleman University,科尔曼大学,92123-1506,California,CA,San Diego,32.821962,-117.136493
Western University of Health Sciences,健康科学西部大学,91766-1854,California,CA,Pomona,34.058092,-117.747732
Columbia College-Hollywood,哥伦比亚学院，好莱坞,91356-1411,California,CA,Tarzana,34.179596,-118.538394
Dell'Arte International School of Physical Theatre,形体剧场的dell'Arte酒店国际学校,95525-0816,California,CA,Blue Lake,40.880871,-123.988878
Dominican University of California,加州多明尼克大学,94901-2298,California,CA,San Rafael,37.980014,-122.514654
Dominican School of Philosophy & Theology,哲学神学多明尼加学校,94708-1816,California,CA,Berkeley,37.881099,-122.264612
Fielding Graduate University,菲尔丁研究生院,93105-3538,California,CA,Santa Barbara,34.4294,-119.717151
Franciscan School of Theology,神学的圣芳济中学,94709-1208,California,CA,Berkeley,37.877133,-122.260924
Fresno Pacific University,弗雷斯诺太平洋大学,93702-4709,California,CA,Fresno,36.725279,-119.731953
Fuller Theological Seminary in California,富勒神学院在加利福尼亚州,91182,California,CA,Pasadena,34.14778,-118.140261
Golden Gate University-San Francisco,金门大学旧金山,94105-2968,California,CA,San Francisco,37.789208,-122.398785
Graduate Theological Union,联合神学研究院,94709,California,CA,Berkeley,37.87554,-122.261847
Harvey Mudd College,哈维穆德学院,91711,California,CA,Claremont,34.106137,-117.710594
Holy Names University,圣名大学,94619-1699,California,CA,Oakland,37.802654,-122.18717
Humboldt State University,洪堡州立大学,95521-8299,California,CA,Arcata,40.8741,-124.0814
Humphreys College-Stockton and Modesto Campuses,汉弗莱斯学院 - 斯托克顿和莫德斯托校园,95207-3896,California,CA,Stockton,38.011051,-121.316401
John F Kennedy University,约翰肯尼迪大学,94523-4817,California,CA,Pleasant Hill,37.881794,-122.183972
American Jewish University,美国犹太大学,90077-1519,California,CA,Los Angeles,34.128099,-118.471764
Life Pacific College,生命太平洋学院,91773-3298,California,CA,San Dimas,34.089421,-117.830997
University of La Verne,拉文大学,91750-4401,California,CA,La Verne,34.10086,-117.772634
Laguna College of Art and Design,艺术与设计学院拉古纳,92651,California,CA,Laguna Beach,33.561448,-117.772564
Life Chiropractic College West,生命整脊学院西,94545-2800,California,CA,Hayward,37.637639,-122.11627
Lincoln University,林肯大学,94612-2801,California,CA,Oakland,37.804788,-122.269745
Southern California Seminary,南加州学院,92019-1108,California,CA,El Cajon,32.803259,-116.900531
La Sierra University,拉西瑞亚大学,92515-8247,California,CA,Riverside,33.908834,-117.497071
Loma Linda University,罗马琳达大学,92350,California,CA,Loma Linda,34.051518,-117.261056
Southern California University of Health Sciences,健康科学的南加州大学,90604,California,CA,Whittier,33.924638,-117.985447
The Master's College and Seminary,大师的学院和神学院,91321-1200,California,CA,Santa Clarita,34.38214,-118.517422
Loyola Marymount University,Loyola Marymount大学,90045-2659,California,CA,Los Angeles,33.970633,-118.415655
Marymount California University,蒙特加州大学,90275-6299,California,CA,Rancho Palos Verdes,33.73463,-118.333404
Menlo College,门罗学院,94027-4301,California,CA,Atherton,37.452906,-122.181444
Mills College,米尔斯学院,94613,California,CA,Oakland,37.782639,-122.18789
Monterey Institute of International Studies,蒙特雷国际研究学院,93940,California,CA,Monterey,36.599827,-121.896813
Mount St Mary's College,山圣玛丽学院,90049-1599,California,CA,Los Angeles,34.082112,-118.480471
National University,国立大学,92037-1011,California,CA,La Jolla,32.909469,-117.244243
Notre Dame de Namur University,那慕尔圣母大学,94002-1908,California,CA,Belmont,37.517501,-122.284618
Occidental College,西方学院,90041-3392,California,CA,Los Angeles,34.126224,-118.210783
Otis College of Art and Design,艺术与设计学院奥蒂斯,90045-3505,California,CA,Los Angeles,33.956607,-118.416615
Hope International University,希望国际大学,92831-3199,California,CA,Fullerton,33.87616,-117.88573
Palo Alto University,帕洛阿尔托大学,94304-1337,California,CA,Palo Alto,37.383251,-122.186022
Pacific Lutheran Theological Seminary,太平洋路德会神学院,94708-1597,California,CA,Berkeley,37.898172,-122.260201
Pacific Oaks College,太平洋橡树学院,91103,California,CA,Pasadena,34.153088,-118.15158
Pacific School of Religion,太平洋宗教学校,94709,California,CA,Berkeley,37.876599,-122.263331
Pacific States University,太平洋国家大学,90010,California,CA,Los Angeles,34.0607,-118.299841
Pacific Union College,太平洋联合学院,94508-9707,California,CA,Angwin,38.57409,-122.449639
University of the Pacific,太平洋大学,95211-0197,California,CA,Stockton,37.980624,-121.307296
Pepperdine University,佩珀代因大学,90263,California,CA,Malibu,34.041912,-118.707677
Pitzer College,匹泽学院,91711-6101,California,CA,Claremont,34.103408,-117.705939
Point Loma Nazarene University,波因特洛马拿撒勒大学,92106-2899,California,CA,San Diego,32.713295,-117.251204
Pomona College,波莫纳学院,91711-6319,California,CA,Claremont,34.098298,-117.711944
Pardee RAND Graduate School,兰德公司帕迪研究生院,90407-2138,California,CA,Santa Monica,34.009975,-118.49047
University of Redlands,雷德兰兹大学,92373-0999,California,CA,Redlands,34.063571,-117.163847
Dongguk University-Los Angeles,东国大学 - 洛杉矶,90020-1704,California,CA,Los Angeles,34.066226,-118.289927
Samuel Merritt University,塞缪尔·梅里特大学,94609,California,CA,Oakland,37.819955,-122.266854
San Diego State University,州立圣地牙哥大学,92182,California,CA,San Diego,32.77525,-117.071228
University of San Diego,圣地亚哥大学,92110-2492,California,CA,San Diego,32.77142,-117.188721
San Francisco Art Institute,旧金山艺​​术学院,94133-2299,California,CA,San Francisco,37.803575,-122.417
San Francisco Conservatory of Music,音乐旧金山音乐学院,94102-6011,California,CA,San Francisco,37.775322,-122.420143
San Francisco State University,州立旧金山大学,94132,California,CA,San Francisco,37.721345,-122.477905
San Francisco Theological Seminary,旧金山神学院,94960-0000,California,CA,San Anselmo,37.969594,-122.564302
University of San Francisco,旧金山大学,94117-1080,California,CA,San Francisco,37.775564,-122.450977
San Joaquin College of Law,法律的圣华金学院,93612-1312,California,CA,Clovis,36.823978,-119.6978
William Jessup University,威廉杰瑟普大学,95765-3707,California,CA,Rocklin,38.819728,-121.292312
San Jose State University,圣何塞州立大学,95192-0001,California,CA,San Jose,37.335201,-121.881214
Santa Clara University,圣克拉拉大学,95053,California,CA,Santa Clara,37.352706,-121.938189
Saybrook University,塞布鲁克大学,94111-1920,California,CA,San Francisco,37.798417,-122.400088
Scripps College,斯克里普斯学院,91711-3905,California,CA,Claremont,34.103655,-117.711336
Shasta Bible College and Graduate School,沙斯塔圣经学院和研究生院,96002,California,CA,Redding,40.564208,-122.315742
Trinity Law School,三一法学院,92705,California,CA,Santa Ana,33.766071,-117.852059
Simpson University,辛普森大学,96003-8606,California,CA,Redding,40.61331,-122.333048
Saint Mary's College of California,加州圣玛丽学院,94575,California,CA,Moraga,37.83997,-122.106795
Sonoma State University,索诺玛州立大学,94928-3609,California,CA,Rohnert Park,38.341023,-122.673261
South Baylo University,南Baylo大学,92801-1701,California,CA,Anaheim,33.847936,-117.958663
Vanguard University of Southern California,南加州大学先锋,92626,California,CA,Costa Mesa,33.662686,-117.900911
Starr King School for Ministry,斯塔尔国王学校部,94709-1209,California,CA,Berkeley,37.876939,-122.261778
Marshall B Ketchum University,马歇尔乙凯旋大学,92831-1699,California,CA,Fullerton,33.889819,-117.886158
Southern California Institute of Architecture,南加州建筑学院,90013-1822,California,CA,Los Angeles,34.04365,-118.232703
University of Southern California,南加州大学,90089,California,CA,Los Angeles,34.021058,-118.283858
Southwestern Law School,西南大学法学院,90010-1106,California,CA,Los Angeles,34.061558,-118.288375
Claremont School of Theology,神学的克莱蒙特学院,91711-3199,California,CA,Claremont,34.107602,-117.715256
Thomas Aquinas College,托马斯阿奎那学院,93060,California,CA,Santa Paula,34.429009,-119.087141
Epic Bible College,史诗圣经学院,95841,California,CA,Sacramento,38.64491,-121.362311
Westminster Theological Seminary in California,威斯敏斯特神学院在加利福尼亚州,92027,California,CA,Escondido,33.121447,-117.046371
Westmont College,维斯蒙特学院,93108-1089,California,CA,Santa Barbara,34.449265,-119.661932
Whittier College,惠蒂尔学院,90601,California,CA,Whittier,33.977625,-118.028402
Woodbury University,伍德伯里大学,91510-7846,California,CA,Burbank,34.209226,-118.340692
The Wright Institute,怀特研究所,94704-1796,California,CA,Berkeley,37.868221,-122.253168
Thomas Jefferson School of Law,法律的托马斯·杰斐逊学院,92101,California,CA,San Diego,32.71013,-117.154191
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,叶史瓦Ohr先生Elchonon恰巴德西海岸Talmudical学院,90046,California,CA,Los Angeles,34.085494,-118.346688
Adams State University,亚当斯州立大学,81101,Colorado,CO,Alamosa,37.477238,-105.880943
University of Colorado Denver,丹佛科罗拉多大学,80217-3364,Colorado,CO,Denver,39.74603,-104.999181
University of Colorado Colorado Springs,科罗拉多斯普林斯分校,80918,Colorado,CO,Colorado Springs,38.892735,-104.800296
University of Colorado Boulder,美国科罗拉多大学博尔德分校,80309-0017,Colorado,CO,Boulder,40.004415,-105.267061
Colorado Christian University,科罗拉多州基督教大学,80226,Colorado,CO,Lakewood,39.711701,-105.094836
Colorado College,科罗拉多学院,80903,Colorado,CO,Colorado Springs,38.84657,-104.82422
Colorado Mountain College,科罗拉多山书院,81601-0233,Colorado,CO,Glenwood Springs,39.54636,-107.324391
Colorado School of Mines,科罗拉多矿业学院,80401,Colorado,CO,Golden,39.75079,-105.227148
Colorado State University-Fort Collins,科罗拉多州立大学 - 柯林斯堡,80523-0100,Colorado,CO,Fort Collins,40.574759,-105.08083
College America-Denver,学院美国丹佛,80222,Colorado,CO,Denver,39.691571,-104.94118
Denver Seminary,丹佛神学院,80120,Colorado,CO,Littleton,39.600595,-105.022363
University of Denver,丹佛大学,80208,Colorado,CO,Denver,39.695954,-104.964625
Fort Lewis College,路易斯堡学院,81301-3999,Colorado,CO,Durango,37.275428,-107.867003
Iliff School of Theology,神学Iliff学校,80210-4798,Colorado,CO,Denver,39.677461,-104.960647
Colorado Mesa University,科罗拉多州梅萨大学,81501-3122,Colorado,CO,Grand Junction,39.076354,-108.540281
Metropolitan State University of Denver,丹佛大都会州立学院,80217-3362,Colorado,CO,Denver,39.742248,-105.002391
Naropa University,那诺巴大学,80302-6697,Colorado,CO,Boulder,40.014816,-105.267073
Nazarene Bible College,拿撒勒圣经学院,80910-3704,Colorado,CO,Colorado Springs,38.814124,-104.751124
University of Northern Colorado,北科罗拉多大学,80639,Colorado,CO,Greeley,40.403178,-104.701721
Regis University,里吉斯大学,80221-1099,Colorado,CO,Denver,39.78976,-105.031385
Montessori Education Center of the Rockies,落基山脉的蒙台梭利教育中心,80301,Colorado,CO,Boulder,39.96504,-105.25311
Colorado State University-Pueblo,科罗拉多州立大学普韦布洛,81001-4901,Colorado,CO,Pueblo,38.309219,-104.579846
United States Air Force Academy,美国空军学院,80840-5002,Colorado,CO,USAFA,39.011115,-104.889893
Western State Colorado University,西部州立大学科罗拉多州,81231,Colorado,CO,Gunnison,38.547421,-106.91971
Albertus Magnus College,阿尔伯图斯思学院,06511-1189,Connecticut,CT,New Haven,41.332519,-72.923848
University of Bridgeport,布里奇波特大学,06604-5620,Connecticut,CT,Bridgeport,41.165587,-73.189352
Central Connecticut State University,中央康涅狄格州立大学,6050,Connecticut,CT,New Britain,41.690258,-72.770094
Charter Oak State College,宪章橡木州立学院,6053,Connecticut,CT,New Britain,41.688246,-72.767972
Connecticut College,康涅狄格学院,06320-4196,Connecticut,CT,New London,41.379833,-72.107321
University of Connecticut,康涅狄格大学,6269,Connecticut,CT,Storrs,41.808205,-72.249519
Goodwin College,古德温学院,6118,Connecticut,CT,East Hartford,41.74405,-72.6403
Eastern Connecticut State University,东康涅狄格州立大学,6226,Connecticut,CT,Willimantic,41.721673,-72.218753
Fairfield University,费尔菲尔德大学,06824-5195,Connecticut,CT,Fairfield,41.160732,-73.25778
Rensselaer Hartford Graduate Center Inc,伦斯勒哈特福德研究生中心有限公司,6120,Connecticut,CT,Hartford,41.773462,-72.673916
Hartford Seminary,哈特福德神学院,06105-2260,Connecticut,CT,Hartford,41.769861,-72.707766
University of Hartford,哈特福德大学,06117-1599,Connecticut,CT,West Hartford,41.796485,-72.714965
Holy Apostles College and Seminary,圣使徒学院和神学院,06416-2005,Connecticut,CT,Cromwell,41.60682,-72.647853
Lyme Academy College of Fine Arts,美术莱姆科学院,6371,Connecticut,CT,Old Lyme,41.322826,-72.329397
Mitchell College,米切尔学院,6320,Connecticut,CT,New London,41.328075,-72.095337
University of New Haven,纽黑文大学,6516,Connecticut,CT,West Haven,41.291314,-72.961472
Quinnipiac University,昆尼皮亚克大学,6518,Connecticut,CT,Hamden,41.419527,-72.895542
Sacred Heart University,圣心大学,06825-1000,Connecticut,CT,Fairfield,41.221548,-73.24461
University of Saint Joseph,圣约瑟夫大学,6117,Connecticut,CT,West Hartford,41.783028,-72.730489
St Vincent's College,圣文森特学院,06606-4201,Connecticut,CT,Bridgeport,41.201198,-73.201106
Southern Connecticut State University,南康涅狄格州立大学,06515-1355,Connecticut,CT,New Haven,41.331852,-72.948806
Trinity College,圣三一学院,06106-3100,Connecticut,CT,Hartford,41.746746,-72.688684
United States Coast Guard Academy,美国海岸警卫队学院,06320-4195,Connecticut,CT,New London,41.370261,-72.098839
Wesleyan University,卫斯理大学,6459,Connecticut,CT,Middletown,41.55678,-72.656755
Western Connecticut State University,西康涅狄格州立大学,06810-6826,Connecticut,CT,Danbury,41.400365,-73.444264
Yale-New Haven Hospital Dietetic Internship,耶鲁 - 纽黑文医院饮食实习,6510,Connecticut,CT,New Haven,41.304214,-72.935579
Yale University,耶鲁大学,6520,Connecticut,CT,New Haven,41.311158,-72.926688
Delaware State University,特拉华州立大学,19901,Delaware,DE,Dover,39.187173,-75.54053
University of Delaware,特拉华大学,19716,Delaware,DE,Newark,39.679791,-75.7536
Goldey-Beacom College,芶-比科姆学院,19808,Delaware,DE,Wilmington,39.742464,-75.694018
Wesley College,卫斯理学院,19901-3875,Delaware,DE,Dover,39.16325,-75.527377
Wilmington University,威尔明顿大学,19720,Delaware,DE,New Castle,39.682299,-75.586998
American University,美国大学,20016-8001,District of Columbia,NA,Washington,38.937802,-77.090106
Catholic University of America,美国天主教大学,20064,District of Columbia,NA,Washington,38.935796,-76.998961
Corcoran College of Art and Design,艺术与设计学院科科伦,20006-4804,District of Columbia,NA,Washington,38.895757,-77.039812
University of the District of Columbia,哥伦比亚特区大学,20008,District of Columbia,NA,Washington,38.943819,-77.066247
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,圣母无原罪宗座学院在研究的多明尼加楼,20017-1585,District of Columbia,NA,Washington,38.931427,-76.998806
Gallaudet University,加劳德特大学,20002-3695,District of Columbia,NA,Washington,38.907371,-76.993675
George Washington University,乔治·华盛顿大学,20052,District of Columbia,NA,Washington,38.89865,-77.047871
Georgetown University,乔治城大学,20057-0001,District of Columbia,NA,Washington,38.908809,-77.073463
Howard University,霍华德大学,20059-0001,District of Columbia,NA,Washington,38.920739,-77.019478
Trinity Washington University,三位一体华盛顿大学,20017-1094,District of Columbia,NA,Washington,38.927398,-77.004261
Wesley Theological Seminary,韦斯利神学院,20016-5690,District of Columbia,NA,Washington,38.939606,-77.08996
The Baptist College of Florida,佛罗里达浸会学院,32440,Florida,FL,Graceville,30.956401,-85.519033
Barry University,巴里大学,33161-6695,Florida,FL,Miami,25.878865,-80.196136
Bethune-Cookman University,白求恩库克曼大学,32114-3099,Florida,FL,Daytona Beach,29.210193,-81.031429
